uniprot_accession,standard_inchi_key,canonical_smiles,compound_name,protein_fragment,avg_predictions
Q6YMS6,LTXREWYXXSTFRX-QGZVFWFLSA-N,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,Linagliptin,NS5_DEN2B Dengue virus 2,4.23659011721611
Q6YMS6,OHUCIUMMEAYVKS-UHFFFAOYSA-N,CN(C)CCOc1ccc2[nH]c(C(=O)NCC#Cc3ccc(C(=O)NO)cc3)cc2c1,CRA-026440,NS5_DEN2B Dengue virus 2,4.23380509018898
Q6YMS6,XIUUSFJTJXFNGH-UHFFFAOYSA-N,CN1C(=O)N(C)C2C1N(C)C(=O)N2C,Mebicar,NS5_DEN2B Dengue virus 2,4.231619447469711
Q6YMS6,DCRWIATZWHLIPN-QGZVFWFLSA-N,Cc1cc(Nc2nc(C(O)c3ccc(F)cc3)nc3ccccc23)n[nH]1,AC430,NS5_DEN2B Dengue virus 2,4.230906009674072
Q6YMS6,DenvInD_299,CC(C)(C)C1=CC=C(C=C1)COC2=CC=C(C=C2)C(C(=O)N)NC(=O)C(CCCCN)NC(=O)C(CCCN=C(N)N)NC(=O)C3=C(C=CS3)Cl,127039185,NS5_DEN2B Dengue virus 2,4.2297521233558655
Q6YMS6,PIMQWRZWLQKKBJ-SFHVURJKSA-N,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,Dinaciclib,NS5_DEN2B Dengue virus 2,4.229106575250626
Q6YMS6,MJIHNNLFOKEZEW-UHFFFAOYSA-N,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,Lansoprazole,NS5_DEN2B Dengue virus 2,4.226945132017136
Q6YMS6,YZCUMZWULWOUMD-NDEPHWFRSA-N,COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F,BAY-1251152,NS5_DEN2B Dengue virus 2,4.2221013605594635
Q6YMS6,DZMVCVHATYROOS-ZBFGKEHZSA-N,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NCCc1ccccc1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C,Soblidotin,NS5_DEN2B Dengue virus 2,4.221246808767319
Q6YMS6,SCAGLYMBBLMFND-UHFFFAOYSA-N,NC1CCC(Nc2nc(NCc3cccc(I)c3)c3ncn(C4CCCC4)c3n2)CC1,H-327,NS5_DEN2B Dengue virus 2,4.219430774450302
Q6YMS6,NOMSFNRBXCWAIE-UHFFFAOYSA-N,COc1cc(CN(C)CCN(C)CCC(c2ccc(F)cc2)c2ccc(F)cc2)cc(OC)c1OC,SIM-6080,NS5_DEN2B Dengue virus 2,4.218339383602142
Q6YMS6,XACKNLSZYYIACO-DJLDLDEBSA-N,CCc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,edoxudine,NS5_DEN2B Dengue virus 2,4.2182329297065735
Q6YMS6,WTXWDXWZGJGIHV-URBCHYCLSA-N,CC1OC(=O)NC1C(=O)NC(Cc1cscn1)C(=O)N1CCCC1C,KPS-0373,NS5_DEN2B Dengue virus 2,4.216386020183563
Q6YMS6,AEOCXXJPGCBFJA-UHFFFAOYSA-N,CCc1cc(C(N)=S)ccn1,Ethionamide,NS5_DEN2B Dengue virus 2,4.216319233179092
Q6YMS6,IPMQOGDSJZQLFX-BIBZJUPHSA-N,NC(=O)C1(NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2csc3ccccc23)NC(=O)C2CCCNC2)CCNCC1,Relamorelin,NS5_DEN2B Dengue virus 2,4.21368670463562
Q6YMS6,WYXSYVWAUAUWLD-SHUUEZRQSA-N,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,AZAURIDINE,NS5_DEN2B Dengue virus 2,4.209847837686539
Q6YMS6,HIBWHHQXUSKNOV-UHFFFAOYSA-N,COc1cc2c(cc1S(=O)(=O)c1ccc(OCc3ccc(Cl)cc3)cc1)CCN(C)CC2,SB-737050-A,NS5_DEN2B Dengue virus 2,4.208919584751129
Q6YMS6,OGIAVRWXUPYGGC-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(-n2cc(Cl)c(OC3CCN(c4ncc(Cl)cn4)CC3)cc2=O)c(F)c1,BMS-903452,NS5_DEN2B Dengue virus 2,4.2078361213207245
Q6YMS6,JOGKUKXHTYWRGZ-UHFFFAOYSA-N,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,Dactolisib,NS5_DEN2B Dengue virus 2,4.207642585039139
